Fecha,Total
2000-01-31,1.126719130015432
2000-02-29,1.0466051581790123
2000-03-31,1.1940908892746913
2000-04-30,1.0977839814814816
2000-05-31,1.2576890760030863
2000-06-30,1.3239867669753087
2000-07-31,1.3014472839506173
2000-08-31,1.3164955516975307
2000-09-30,1.264702777777778
2000-10-31,1.2998127719907409
2000-11-30,1.275640987654321
2000-12-31,1.2576443672839506
2001-01-31,1.229459920910494
2001-02-28,1.1581219309413582
2001-03-31,1.1322066068672838
2001-04-30,1.071765150462963
2001-05-31,1.08742746720679
2001-06-30,1.0883972883347364
2001-07-31,1.1400132132084735
2001-08-31,1.152615663580247
2001-09-30,1.0969498181467452
2001-10-31,1.1212204306958473
2001-11-30,1.0371371026234568
2001-12-31,1.082858693415638
2002-01-31,1.185503544238683
2002-02-28,1.0142129378858025
2002-03-31,1.0808229571759258
2002-04-30,1.0945177970679012
2002-05-31,1.1905005787037035
2002-06-30,1.1572646894290124
2002-07-31,1.1381031624228395
2002-08-31,1.1527405856481483
2002-09-30,1.1374473225308641
2002-10-31,1.1334487133487654
2002-11-30,0.9867044830246914
2002-12-31,1.0825233005401236
2003-01-31,1.121981896219136
2003-02-28,1.0438337442129628
2003-03-31,1.1858543672839508
2003-04-30,1.1390859452160493
2003-05-31,1.1408651388888889
2003-06-30,1.2278540952932098
2003-07-31,1.2447653800154324
2003-08-31,1.1572142380401236
2003-09-30,1.1323272530864197
2003-10-31,1.373165680941358
2003-11-30,1.3383444232253086
2003-12-31,1.323125920138889
2004-01-31,1.176768555169753
2004-02-29,1.1368313425925924
2004-03-31,1.2762790875771606
2004-04-30,1.3255596932870368
2004-05-31,1.3532427044753086
2004-06-30,1.2782344753086419
2004-07-31,1.1042007851080249
2004-08-31,1.2792208391203705
2004-09-30,1.2358173225308644
2004-10-31,1.2855515065586418
2004-11-30,1.2113723206018518
2004-12-31,1.3339694849537038
2005-01-31,1.4092296214984508
2005-02-28,1.258786127630581
2005-03-31,1.3780825182549785
2005-04-30,1.3180461770604341
2005-05-31,1.3369217399691358
2005-06-30,1.3624480439814814
2005-07-31,1.3487771817129632
2005-08-31,1.258782204861111
2005-09-30,1.2162530922067902
2005-10-31,1.2411992283950617
2005-11-30,1.3685695235339508
2005-12-31,1.300739637345679
2006-01-31,1.271922399691358
2006-02-28,1.2354333449074073
2006-03-31,1.3090547395833334
2006-04-30,1.274986379243827
2006-05-31,1.2694609895833333
2006-06-30,1.1772973996913578
2006-07-31,1.257370374228395
2006-08-31,1.3141046026234566
2006-09-30,1.450105731095679
2006-10-31,1.4266433121141975
2006-11-30,1.3856902932098767
2006-12-31,1.49904625
2007-01-31,1.339675887345679
2007-02-28,1.3321176697530863
2007-03-31,1.483239347993827
2007-04-30,1.3544456712962962
2007-05-31,1.5277222010030864
2007-06-30,1.4645861805555556
2007-07-31,1.4444224961419754
2007-08-31,1.4477262287808639
2007-09-30,1.5218048013117285
2007-10-31,1.6068022376543207
2007-11-30,1.4695415644290124
2007-12-31,1.490391633873457
2008-01-31,1.5674860763888887
2008-02-29,1.4178655844907408
2008-03-31,1.5089252989969135
2008-04-30,1.388994415509259
2008-05-31,1.3653883449074073
2008-06-30,1.3786683564814814
2008-07-31,1.4771432986111113
2008-08-31,1.5055863445216051
2008-09-30,1.4830832523148147
2008-10-31,1.4713925752314816
2008-11-30,1.438729772376543
2008-12-31,1.411838136574074
2009-01-31,1.343929174382716
2009-02-28,1.2451546631647672
2009-03-31,1.37301383799264
2009-04-30,1.4550130034722222
2009-05-31,1.4456991859567903
2009-06-30,1.2972804128086421
2009-07-31,1.2826687885802468
2009-08-31,1.317409772376543
2009-09-30,1.2978253819444445
2009-10-31,1.292364884259259
2009-11-30,1.3519781365740742
2009-12-31,1.331431417824074
2010-01-31,1.2695900540123457
2010-02-28,1.173408136574074
2010-03-31,1.3030310532407408
2010-04-30,1.1818711766975307
2010-05-31,1.3090620293209878
2010-06-30,1.3793686535493825
2010-07-31,1.5025626234567901
2010-08-31,1.3430656481481482
2010-09-30,1.4708061535493826
2010-10-31,1.5298901639660494
2010-11-30,1.461287924382716
2010-12-31,1.4928999922839503
2011-01-31,1.339457824074074
2011-02-28,1.3898216242283952
2011-03-31,1.5493683140432097
2011-04-30,1.4089050868055557
2011-05-31,1.547391452546296
2011-06-30,1.5082123668981482
2011-07-31,1.5897768229166667
2011-08-31,1.5439919463734564
2011-09-30,1.4837759027777777
2011-10-31,1.5547635570987655
2011-11-30,1.52333503279321
2011-12-31,1.6096909162808644
2012-01-31,1.3580797916666665
2012-02-29,1.3108061419753088
2012-03-31,1.3483270756172838
2012-04-30,1.4260086072530864
2012-05-31,1.5110638368055553
2012-06-30,1.3884132137345677
2012-07-31,1.3931759239969137
2012-08-31,1.349207980324074
2012-09-30,1.3037137924382716
2012-10-31,1.4604476253858025
2012-11-30,1.4787368807870371
2012-12-31,1.4580258468364198
2013-01-31,1.3596887692901234
2013-02-28,1.255160837191358
2013-03-31,1.41470159529321
2013-04-30,1.3941552662037038
2013-05-31,1.5442213290895062
2013-06-30,1.438249716435185
2013-07-31,1.4319107523148147
2013-08-31,1.4433723842592594
2013-09-30,1.3698288078703704
2013-10-31,1.4346307253086419
2013-11-30,1.4294894058641974
2013-12-31,1.3006654050925925
2014-01-31,1.2719526929012346
2014-02-28,1.2306921161265432
2014-03-31,1.3252739544753085
2014-04-30,1.260939442515432
2014-05-31,1.3607027469135804
2014-06-30,1.3160994174382714
2014-07-31,1.3754289718364197
2014-08-31,1.3439592206790123
2014-09-30,1.340776946373457
